,ProbA,ProbC,ProbE,ProbN,ProbO,LoadingA,LoadingC,LoadingE,LoadingN,LoadingO
ProbA,1,-0.26,-0.26,-0.2,-0.25,0.19,-0.24,0.24,0.07,-0.23
ProbC,-0.26,1,-0.31,-0.23,-0.29,-0.11,0.76,-0.34,-0.21,-0.17
ProbE,-0.26,-0.31,1,-0.22,-0.26,0.11,-0.24,0.46,-0.19,-0.06
ProbN,-0.2,-0.23,-0.22,1,-0.21,-0.12,-0.22,-0.22,0.79,-0.3
ProbO,-0.25,-0.29,-0.26,-0.21,1,-0.08,-0.13,-0.15,-0.34,0.73
LoadingA,0.19,-0.11,0.11,-0.12,-0.08,1,-0.22,-0.05,-0.16,-0.07
LoadingC,-0.24,0.76,-0.24,-0.22,-0.13,-0.22,1,-0.26,-0.24,-0.09
LoadingE,0.24,-0.34,0.46,-0.22,-0.15,-0.05,-0.26,1,-0.15,-0.22
LoadingN,0.07,-0.21,-0.19,0.79,-0.34,-0.16,-0.24,-0.15,1,-0.38
LoadingO,-0.23,-0.17,-0.06,-0.3,0.73,-0.07,-0.09,-0.22,-0.38,1
