source_id,doc_id,scale
A101,Q3887,HEXACO
A139,Q1045,BFAS
C4,Q4828,HEXACO
C8,Q4830,HEXACO
D46,Q4951,HEXACO
E119,Q3377,AB5C
E120,Q702,NEO-PI-R
E124,Q3227,AB5C
E132,Q3521,AB5C
E156,Q3336,AB5C
E163,Q390,AB5C
E46,Q5622,7FACTOR
E47,Q3344,AB5C
E57,Q3416,AB5C
E77,Q3527,AB5C
E78,Q922,NEO-PI-R
E81,Q3528,AB5C
E9,Q3206,AB5C
E99,Q991,BFAS
H1002,Q375,AB5C
H1022,Q3531,AB5C
H1039,Q3405,AB5C
H1042,Q3497,AB5C
H1097,Q3627,AB5C
H1129,Q3577,AB5C
H114,Q122,NEO-PI-R
H1151,Q612,NEO-PI-R
H1157,Q398,AB5C
H1180,Q3514,AB5C
H1206,Q366,NEO-PI-R
H126,Q354,AB5C
H1267,Q1696,AB5C
H1276,Q5614,7FACTOR
H1325,Q1022,BFAS
H1327,Q3425,AB5C
H1351,Q3312,AB5C
H1356,Q3396,AB5C
H1358,Q3481,AB5C
H1382,Q6333,AB5C
H1392,Q5645,7FACTOR
H186,Q652,NEO-PI-R
H2013,Q3291,AB5C
H2014,Q956,NEO-PI-R
H2015,Q3339,AB5C
H2026,Q3452,AB5C
H204,Q3626,AB5C
H2043,Q908,NEO-PI-R
H232,Q3271,AB5C
H271,Q3292,AB5C
H277,Q363,AB5C
H292,Q3379,AB5C
H296,Q3536,AB5C
H326,Q3489,AB5C
H33,Q3471,AB5C
H386,Q3167,AB5C
H400,Q3385,AB5C
H447,Q3275,AB5C
H511,Q365,NEO-PI-R
H568,Q3161,AB5C
H588,Q3417,AB5C
H612,Q3438,AB5C
H661,Q3220,AB5C
H663,Q3587,AB5C
H672,Q3530,AB5C
H690,Q4950,HEXACO
H754,Q3451,AB5C
H774,Q1016,BFAS
H846,Q980,NEO-PI-R
H876,Q3301,AB5C
H892,Q3583,AB5C
H894,Q3548,AB5C
H959,Q3360,AB5C
P430,Q4192,6FPQ
P434,Q414,HEXACO
Q14,Q1054,BFAS
Q154,Q4842,HEXACO
Q178,Q1015,BFAS
Q243,Q4910,HEXACO
Q36,Q4904,HEXACO
Q45,Q4811,HEXACO
R1,Q986,BFAS
R44,Q4756,HEXACO
R53,Q4761,HEXACO
R69,Q4763,HEXACO
X112,Q3358,AB5C
X125,Q3278,AB5C
X146,Q3371,AB5C
X150,Q5643,7FACTOR
X176,Q5617,7FACTOR
X184,Q128,NEO-PI-R
X201,Q3455,AB5C
X218,Q625,NEO-PI-R
X226,Q780,NEO-PI-R
X235,Q3304,AB5C
X263,Q3486,AB5C
X29,Q3236,AB5C
X70,Q3243,AB5C
X73,Q6382,AB5C
X83,Q5641,7FACTOR
X90,Q3250,AB5C
